id,x,y
0,0.579683,0.652251
1,8.029851,-0.344045
2,15.508522,0.014101
3,-0.459946,-0.646573
4,8.089690,0.060019
5,16.245911,-0.411287
6,0.002252,-0.029134
7,7.322377,0.242099
8,16.144320,1.075100
9,0.091336,-0.065116
10,8.554741,0.089456
11,16.409064,-0.164495
12,0.098177,0.460930
13,8.313311,0.057813
14,15.512961,0.200350
15,0.034589,0.324210
16,8.097305,0.489683
17,15.976798,0.090884
18,0.300049,-0.489098
19,7.819253,-0.225013
20,16.891277,-0.041788
21,0.293499,0.278719
22,7.873607,-0.697877
23,16.434180,-0.183239
24,0.323080,-0.587369
25,7.802908,0.565570
26,16.643952,-0.586106
27,-0.599763,-0.019919
28,8.327709,0.072227
29,16.136600,-0.444976
30,0.264056,0.502584
31,7.803947,-0.645070
32,15.658531,0.342746
33,-0.780164,-0.041345
34,7.554046,-0.059010
35,15.889965,0.007136
36,0.675543,0.189320
37,8.600171,-0.063636
38,15.784186,0.170465
39,-1.276106,-0.017950
40,8.072076,-0.555844
41,16.208964,-0.251660
42,-1.106595,-0.095993
43,7.559519,-0.234268
44,15.931472,0.562939
45,0.046417,-0.012819
46,8.175052,-0.815442
47,16.558056,-0.484689
48,0.197593,-0.507051
49,7.560582,-0.178330
50,16.853087,0.313949
51,-0.271888,-0.127940
52,7.481871,-0.015372
53,15.742117,0.324850
54,-0.610680,-0.150589
55,7.621096,-0.323419
56,16.320023,0.056838
57,0.263340,0.535084
58,8.517306,-0.617307
59,16.241635,-0.792571
60,-0.028737,0.863603
61,7.912854,-0.166136
62,16.076649,0.008068
63,0.011967,-0.340779
64,8.486786,0.400077
65,15.904497,0.141631
66,0.296301,0.464477
67,8.176739,0.312796
68,15.881555,-0.481219
69,-0.222899,0.458622
70,8.439975,0.065821
71,15.744671,0.138455
72,0.748545,0.609503
73,7.692399,-0.019578
74,15.346731,-0.511005
75,0.084713,0.011144
76,8.434140,0.570432
77,16.375710,0.593900
78,-0.246189,-0.507983
79,8.225240,1.205409
80,16.160554,-0.518286
81,0.109076,0.641526
82,7.534541,0.361525
83,15.724975,0.572776
84,0.353448,0.136828
85,8.900027,-0.184009
86,15.691259,0.834673
87,-0.394389,0.989502
88,7.981941,-0.466502
89,15.999130,0.058723
90,0.090515,-0.086382
91,8.486559,-1.043948
92,15.750429,-0.117977
93,0.818852,-0.896720
94,7.847124,-0.514398
95,15.700838,0.288204
96,0.184912,0.648032
97,7.730204,0.120900
98,16.528027,0.406528
99,-0.151201,0.507642
100,7.584290,0.811516
101,16.069467,-0.050686
102,0.121881,0.382067
103,8.783671,-0.063908
104,15.834594,0.263941
105,-0.392207,-0.763277
106,8.376168,-0.170736
107,16.507064,-0.462015
108,-1.303313,0.127342
109,8.069720,0.720190
110,16.236497,0.139224
111,0.263984,-0.165240
112,8.034884,-0.608352
113,16.233618,-0.362398
114,-0.200624,0.314885
115,8.411989,-0.453228
116,16.901730,-0.266237
117,0.375757,0.428085
118,8.100829,0.077478
119,16.808742,0.400577
120,0.200453,-0.820925
121,7.663808,0.523209
122,16.087322,-0.429768
123,-0.289098,-0.137777
124,8.308730,0.174156
125,16.448818,-0.367660
126,0.443711,-0.225846
127,7.865486,0.779905
128,16.033345,-0.062722
129,-0.094625,-0.173181
130,8.701729,0.619461
131,16.322617,0.082885
132,0.469148,-0.034970
133,8.203679,0.180841
134,16.040027,0.741790
135,0.789862,0.595643
136,7.139084,0.826171
137,16.316070,-0.202756
138,-0.010977,0.512248
139,8.528687,0.384769
140,16.063386,0.016114
141,0.374426,-0.041138
142,7.595871,-0.280516
143,15.937158,0.149632
